8,1
1,2
1,4
0,8
46,16
0,32
0,64
0,128
0,256
1,512
0,1024
1,2048
1,4096
2,8192
3,16384
46,32768
55,65536
107,131072
214,262144
412,524288
823,1048576

1,1
0,2
0,4
0,8
0,16
1,32
1,64
1,128
0,256
1,512
0,1024
0,2048
1,4096
2,8192
2,16384
47,32768
54,65536
106,131072
206,262144
412,524288
850,1048576

0,1
1,2
0,4
0,8
0,16
1,32
0,64
1,128
0,256
1,512
1,1024
0,2048
1,4096
1,8192
3,16384
48,32768
49,65536
106,131072
209,262144
411,524288
832,1048576

0,1
1,2
0,4
1,8
1,16
0,32
1,64
0,128
0,256
0,512
0,1024
1,2048
1,4096
1,8192
3,16384
47,32768
58,65536
106,131072
211,262144
419,524288
850,1048576

0,1
1,2
0,4
0,8
0,16
1,32
0,64
1,128
0,256
1,512
1,1024
1,2048
0,4096
2,8192
52,16384
5,32768
65,65536
112,131072
213,262144
428,524288
842,1048576

1,1
0,2
0,4
1,8
0,16
0,32
0,64
0,128
1,256
0,512
1,1024
1,2048
0,4096
47,8192
2,16384
5,32768
56,65536
105,131072
215,262144
425,524288
858,1048576

1,1
1,2
1,4
0,8
0,16
0,32
1,64
0,128
0,256
0,512
0,1024
1,2048
45,4096
2,8192
2,16384
5,32768
58,65536
103,131072
238,262144
430,524288
863,1048576

1,1
1,2
0,4
1,8
1,16
49,32
1,64
0,128
1,256
0,512
0,1024
1,2048
1,4096
2,8192
2,16384
49,32768
55,65536
110,131072
220,262144
429,524288
860,1048576

1,1
0,2
0,4
1,8
0,16
1,32
0,64
1,128
1,256
1,512
0,1024
1,2048
1,4096
1,8192
3,16384
53,32768
52,65536
111,131072
230,262144
430,524288
-999138,1048576

1,1
0,2
1,4
1,8
0,16
1,32
1,64
0,128
1,256
0,512
0,1024
0,2048
1,4096
1,8192
2,16384
52,32768
53,65536
110,131072
218,262144
429,524288
856,1048576

